nepali_date,english_date,day,specialday,holiday,event
3/29/2071,7/13/2014,sun,FALSE,FALSE,no event
3/30/2071,7/14/2014,mon,FALSE,FALSE,no event
3/31/2071,7/15/2014,tue,FALSE,FALSE,no event
2071-3-32,7/16/2014,wed,FALSE,FALSE,no event
4/1/2071,7/17/2014,thu,FALSE,FALSE,no event
4/2/2071,7/18/2014,fri,FALSE,FALSE,no event
4/3/2071,7/19/2014,sat,FALSE,TRUE,no event
4/4/2071,7/20/2014,sun,FALSE,FALSE,no event
4/5/2071,7/21/2014,mon,FALSE,FALSE,no event
4/6/2071,7/22/2014,tue,FALSE,FALSE,no event
4/7/2071,7/23/2014,wed,FALSE,FALSE,no event
4/8/2071,7/24/2014,thu,FALSE,FALSE,no event
4/9/2071,7/25/2014,fri,FALSE,FALSE,no event
4/10/2071,7/26/2014,sat,FALSE,TRUE,no event
4/11/2071,7/27/2014,sun,FALSE,FALSE,no event
4/12/2071,7/28/2014,mon,FALSE,FALSE,no event
4/13/2071,7/29/2014,tue,FALSE,TRUE,no event
4/14/2071,7/30/2014,wed,FALSE,FALSE,no event
4/15/2071,7/31/2014,thu,FALSE,FALSE,no event
4/16/2071,8/1/2014,fri,FALSE,FALSE,no event
4/17/2071,8/2/2014,sat,FALSE,TRUE,no event
4/18/2071,8/3/2014,sun,FALSE,FALSE,no event
4/19/2071,8/4/2014,mon,FALSE,FALSE,no event
4/20/2071,8/5/2014,tue,FALSE,FALSE,no event
4/21/2071,8/6/2014,wed,FALSE,FALSE,no event
4/22/2071,8/7/2014,thu,FALSE,FALSE,no event
4/23/2071,8/8/2014,fri,FALSE,FALSE,no event
4/24/2071,8/9/2014,sat,TRUE,TRUE,no event
4/25/2071,8/10/2014,sun,FALSE,TRUE,no event
4/26/2071,8/11/2014,mon,FALSE,FALSE,no event
4/27/2071,8/12/2014,tue,TRUE,FALSE,no event
4/28/2071,8/13/2014,wed,FALSE,FALSE,no event
4/29/2071,8/14/2014,thu,FALSE,FALSE,no event
4/30/2071,8/15/2014,fri,FALSE,FALSE,no event
2071-4-31,8/16/2014,sat,FALSE,TRUE,no event
5/1/2071,8/17/2014,sun,FALSE,TRUE,no event
5/2/2071,8/18/2014,mon,FALSE,FALSE,no event
5/3/2071,8/19/2014,tue,FALSE,FALSE,no event
5/4/2071,8/20/2014,wed,FALSE,FALSE,no event
5/5/2071,8/21/2014,thu,FALSE,FALSE,no event
5/6/2071,8/22/2014,fri,FALSE,FALSE,no event
5/7/2071,8/23/2014,sat,FALSE,TRUE,no event
5/8/2071,8/24/2014,sun,FALSE,FALSE,no event
5/9/2071,8/25/2014,mon,FALSE,FALSE,no event
5/10/2071,8/26/2014,tue,FALSE,FALSE,no event
5/11/2071,8/27/2014,wed,FALSE,FALSE,no event
